Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,2
18-30,Male,Writing & reading,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Clear,Collision with pedestrians,Going straight,Unknown or other,Drunk driving,2
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,2
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Dusk,Foggy,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,2
18-30,Female,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Dawn,Rainy,Vehicle with vehicle collision,Going straight,Unknown or other,Pedestrian jaywalking,0
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,0
Over 51,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,0
18-30,Male,Junior high school,Owner,2-5yr,Undivided Two way,No junction,Asphalt roads,Dusk,Clear,Collision with roadside objects,Going straight,Not a Pedestrian,Sudden lane change,0
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Clear,Collision with animals,Going straight,Not a Pedestrian,Brake failure,2
Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Distraction,1
31-50,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Rainy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Speeding,1
18-30,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Dawn,Foggy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Brake failure,1
Under 18,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving,0
18-30,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Rainy,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Sudden lane change,1
18-30,Male,Junior high school,Employee,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Clear,Collision with roadside objects,Moving Backward,Not a Pedestrian,Overtaking,2
Over 51,Male,Elementary school,Employee,2-5yr,Two-way (divided with solid lines road marking),Y Shape,Earth roads,Darkness - lights lit,Rainy,Collision with roadside objects,Going straight,Not a Pedestrian,Poor road conditions,1
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Clear,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Running red light,2
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Clear,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Poor road conditions,0
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dawn,Clear,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Speeding,2
